Ih	Iw	Ic	Kh	Kw	ru	GPU	CPU
299	299	3	3	3	1.0	20.190212421052586	20.37690268421057
149	149	32	3	3	0.7714911490473402	9.83072557894734	10.461939947368917
147	147	32	3	3	0.574503963785415	9.758090368421415	10.205682473684275
73	73	64	1	1	0.9606105742165509	8.627700736842352	7.913763842105263
73	73	80	3	3	0.6138604803903172	7.495713421052579	7.830769736842538
35	35	192	1	1	0.9235671768707483	6.757955052631478	7.225095947368824
35	35	192	1	1	0.9235671768707483	6.920893894736935	7.377124789473411
35	35	48	5	5	0.6225208196362042	6.9093677894741	7.286315473683957
35	35	192	1	1	0.9235671768707483	6.969594157894595	7.338146052632243
35	35	64	3	3	0.514677684441198	6.752937368421267	7.2143871578946515
35	35	96	3	3	0.363168066715364	6.738387631578746	7.2430285789472375
35	35	192	1	1	0.9679124149659863	6.831510052631647	7.4800952105260725
35	35	256	1	1	0.5305197704081632	6.7417193157896955	7.196410894737233
35	35	256	1	1	0.5305197704081632	6.732638263158613	7.221262052631142
35	35	48	5	5	0.5589387464387464	6.98341084210528	7.49251505263185
35	35	256	1	1	0.5305197704081632	6.829452526315774	7.197131526316531
35	35	64	3	3	0.5245503104455808	6.911574473683963	7.209989157894632
35	35	96	3	3	0.3988845264183102	7.149219052631918	7.214774473684571
35	35	256	1	1	0.7472161989795918	7.657662000000106	7.223956473683825
35	35	288	1	1	0.49459467120181405	6.965937421053219	7.216909631578897
35	35	288	1	1	0.49459467120181405	7.943411578947378	7.224913842105558
35	35	48	5	5	0.42421378479070787	6.856570263158726	7.2245735263152255
35	35	288	1	1	0.49459467120181405	8.662546157894798	7.243247421052283
35	35	64	3	3	0.49657596785975167	7.1786995789475325	7.206752368420522
35	35	96	3	3	0.34368151935719504	7.266054736841603	7.300136210526369
35	35	288	1	1	0.7638236961451247	6.727973842105795	7.221084947367355
35	35	288	3	3	0.4052437641723356	7.640213842106161	7.233075052631184
35	35	288	1	1	0.4052437641723356	6.784711842105128	7.335061736842057
35	35	64	3	3	0.3454049488677867	7.967864052632179	7.160299842104522
35	35	96	3	3	0.17715986394557823	8.004294894737173	7.324008947368031
17	17	768	1	1	0.47772941897347176	8.283975684209933	7.372438789474245
17	17	768	1	1	0.47772941897347176	7.975727736841894	7.140220473684018
17	17	128	1	7	0.23303628516624042	6.5802092105261965	7.037115368420718
17	17	128	7	1	0.3459878516624041	6.660220052631572	7.226500315788835
17	17	768	1	1	0.47772941897347176	6.647823736841848	7.163522842104741
17	17	128	7	1	0.30382832480818417	6.598903473683187	7.080338157893463
17	17	128	1	7	0.2970548273657289	6.527659473684815	7.1535763684204765
17	17	128	7	1	0.2798313618925831	6.9152117368426955	6.99053694736793
17	17	128	1	7	0.32456841432225064	8.112314263157907	7.244671368421656
17	17	768	1	1	0.8167351499423299	7.899475631577732	7.235059315790767
17	17	768	1	1	0.3091208910034602	6.615329105263126	7.192373263157044
17	17	768	1	1	0.3091208910034602	6.595222894736633	7.05386836842187
