Ih	Iw	Ic	Kh	Kw	ru	GPU	CPU
35	35	96	3	3	0.1850	6.7051	7.1841
17	17	768	1	1	0.4917	6.6875	7.0745
17	17	768	1	1	0.4917	6.5661	6.9897
17	17	128	1	7	0.2401	6.6854	7.0813
17	17	128	7	1	0.3214	6.7454	7.2856
17	17	768	1	1	0.4917	6.5417	6.9982
17	17	128	7	1	0.3047	6.6178	7.0683
17	17	128	1	7	0.3020	6.5854	7.1093
17	17	128	7	1	0.2922	6.6031	7.1053
17	17	128	1	7	0.3026	6.6284	7.0741
17	17	768	1	1	0.8500	6.6175	7.0879
17	17	768	1	1	0.2957	6.6199	7.0502
17	17	768	1	1	0.2957	6.9234	7.2186
17	17	160	1	7	0.1894	6.6200	7.0753
17	17	160	7	1	0.2475	6.5927	7.0805
17	17	768	1	1	0.2957	6.6127	7.0825
17	17	160	7	1	0.2162	6.5309	7.0581
17	17	160	1	7	0.2503	6.5867	7.0692
17	17	160	7	1	0.2135	6.6426	7.0672
17	17	160	1	7	0.2916	6.8453	7.3745
17	17	768	1	1	0.6268	9.6775	7.0744
17	17	768	1	1	0.3059	6.6024	7.0887
17	17	768	1	1	0.3059	6.6318	7.0828
17	17	160	1	7	0.1839	6.5692	7.0255
17	17	160	7	1	0.2108	6.7034	7.0898
17	17	768	1	1	0.3059	6.8450	7.3118
17	17	160	7	1	0.1872	6.5466	7.1592
17	17	160	1	7	0.2122	6.6103	7.0716
17	17	160	7	1	0.1786	6.5807	7.0647
17	17	160	1	7	0.2726	6.5988	7.0709
17	17	768	1	1	0.6352	6.5993	7.2602
17	17	768	1	1	0.2570	6.6253	7.0647
17	17	768	1	1	0.2570	6.6344	7.0499
17	17	192	1	7	0.1282	6.8843	7.3371
17	17	192	7	1	0.2291	6.5922	7.0713
17	17	768	1	1	0.2570	6.5334	7.0055
17	17	192	7	1	0.1621	6.6449	6.9847
17	17	192	1	7	0.2037	6.7365	7.1008
17	17	192	7	1	0.1876	6.7290	7.2606
17	17	192	1	7	0.2187	6.5829	7.0676
17	17	768	1	1	0.6053	6.6620	7.2078
17	17	768	1	1	0.1284	7.0457	7.2844
17	17	192	3	3	0.1586	6.7366	7.2449
17	17	768	1	1	0.1284	6.6167	7.0766
17	17	192	1	7	0.1973	6.6225	7.1068
17	17	192	7	1	0.2464	6.6373	7.3973
17	17	192	3	3	0.2531	6.6160	7.2452
8	8	1280	1	1	0.3325	6.4776	6.9409
8	8	1280	1	1	0.3325	6.5143	6.9358
8	8	384	1	3	0.1640	6.6575	7.0876
8	8	384	3	1	0.1640	6.4722	6.9266
8	8	1280	1	1	0.3325	6.5299	7.0170
8	8	448	3	3	0.1331	6.6640	6.9925
8	8	384	1	3	0.2003	10.2002	7.2129
8	8	384	3	1	0.2003	6.7840	6.9524
8	8	1280	1	1	0.6614	6.7646	6.9993
8	8	2048	1	1	0.0937	6.7680	7.0021
8	8	2048	1	1	0.0937	6.6725	6.9601
8	8	384	1	3	0.0488	6.5783	7.0297
8	8	384	3	1	0.0488	6.5394	7.0098
8	8	2048	1	1	0.0937	6.5588	7.0463
8	8	448	3	3	0.0866	6.8504	7.2226
8	8	384	1	3	0.1356	6.5455	7.1951
8	8	384	3	1	0.1356	6.8038	6.9833
8	8	2048	1	1	0.2767	6.5377	6.9423
299	299	3	3	3	1.0000	20.5932	21.3609
149	149	32	3	3	0.6866	9.9676	10.4505
147	147	32	3	3	0.5669	10.1220	11.1321
73	73	64	1	1	0.9571	7.5629	8.0765
73	73	80	3	3	0.5366	7.7329	8.3451
35	35	192	1	1	0.9328	6.8214	7.3363
35	35	192	1	1	0.9328	7.0168	7.6594
35	35	48	5	5	0.5975	6.8215	7.3245
35	35	192	1	1	0.9328	6.9158	7.4879
35	35	64	3	3	0.4490	6.9303	7.7527
35	35	96	3	3	0.3562	6.8379	7.3221
35	35	192	1	1	0.9762	6.9753	7.4245
35	35	256	1	1	0.5103	6.8276	7.2982
35	35	256	1	1	0.5103	6.8142	7.2735
35	35	48	5	5	0.5035	6.8829	7.4919
35	35	256	1	1	0.5103	7.1062	7.4682
35	35	64	3	3	0.5142	7.1694	7.2820
35	35	96	3	3	0.3799	7.0864	7.6631
35	35	256	1	1	0.7481	6.7997	7.3159
35	35	288	1	1	0.4540	7.2752	7.3434
35	35	288	1	1	0.4540	6.8201	7.3039
35	35	48	5	5	0.4209	6.8315	7.3170
35	35	288	1	1	0.4540	7.2849	7.3451
35	35	64	3	3	0.4987	6.8252	7.3091
35	35	96	3	3	0.3339	7.2999	7.8873
35	35	288	1	1	0.7557	6.7975	7.2763
35	35	288	3	3	0.3959	6.9405	7.4443
35	35	288	1	1	0.3959	6.8246	7.3041
35	35	64	3	3	0.3209	6.8382	7.3293
35	35	96	3	3	0.1795	6.8197	7.2728
17	17	768	1	1	0.4921	7.0688	7.4449
17	17	768	1	1	0.4921	6.6114	7.1437
17	17	128	1	7	0.2446	6.7039	7.1909
17	17	128	7	1	0.2984	6.6338	7.1180
17	17	768	1	1	0.4921	6.7151	7.2277
17	17	128	7	1	0.2855	6.5811	7.0384
17	17	128	1	7	0.2916	6.5892	7.0907
17	17	128	7	1	0.2712	6.5554	7.0126
17	17	128	1	7	0.3158	6.8880	7.2203
17	17	768	1	1	0.8450	6.5487	7.0332
17	17	768	1	1	0.2810	6.6749	7.0132
17	17	768	1	1	0.2810	6.6336	7.0939
17	17	160	1	7	0.1771	6.5916	7.1153
17	17	160	7	1	0.2507	6.6028	7.0935
17	17	768	1	1	0.2810	6.6358	7.0948
17	17	160	7	1	0.1975	6.5586	7.0159
17	17	160	1	7	0.2533	6.9500	7.2074
17	17	160	7	1	0.2374	6.5911	7.0734
17	17	160	1	7	0.2646	6.8765	7.4833
17	17	768	1	1	0.6040	6.5598	7.0610
17	17	768	1	1	0.2916	6.7415	7.1982
17	17	768	1	1	0.2916	6.6220	7.0386
17	17	160	1	7	0.1557	6.9468	7.3831
17	17	160	7	1	0.2028	6.6443	7.1284
17	17	768	1	1	0.2916	6.5954	7.0753
17	17	160	7	1	0.1543	6.6747	7.1045
17	17	160	1	7	0.1951	6.6653	7.1683
17	17	160	7	1	0.1804	6.5781	7.0248
17	17	160	1	7	0.2419	6.5779	7.0083
17	17	768	1	1	0.5976	6.6670	7.0988
17	17	768	1	1	0.2365	6.9511	7.2452
17	17	768	1	1	0.2365	6.6179	7.0842
17	17	192	1	7	0.1218	6.6606	7.1174
17	17	192	7	1	0.1958	6.5868	7.0195
17	17	768	1	1	0.2365	6.6315	7.0868
17	17	192	7	1	0.1602	6.6071	7.0696
17	17	192	1	7	0.1912	6.5331	6.9959
17	17	192	7	1	0.1767	6.6554	7.0240
17	17	192	1	7	0.1995	6.8337	7.1761
17	17	768	1	1	0.5700	6.6285	7.0589
17	17	768	1	1	0.1043	6.6114	7.0737
17	17	192	3	3	0.1682	6.8615	7.3719
17	17	768	1	1	0.1043	6.5645	7.0257
17	17	192	1	7	0.2172	6.8877	7.4012
17	17	192	7	1	0.2489	6.6128	7.0389
17	17	192	3	3	0.2439	6.6555	7.2854
8	8	1280	1	1	0.3035	6.6312	7.1227
8	8	1280	1	1	0.3035	6.6483	7.0229
8	8	384	1	3	0.1657	6.5895	7.0391
8	8	384	3	1	0.1657	6.4837	6.9742
8	8	1280	1	1	0.3035	6.5457	7.3906
8	8	448	3	3	0.1448	6.4671	6.9236
8	8	384	1	3	0.1967	6.5262	6.9911
8	8	384	3	1	0.1967	6.5242	6.9268
8	8	1280	1	1	0.6596	6.4847	6.9530
8	8	2048	1	1	0.1032	6.4824	6.9582
8	8	2048	1	1	0.1032	6.5961	7.1931
8	8	384	1	3	0.0534	6.5866	6.9317
8	8	384	3	1	0.0534	6.6731	7.2684
8	8	2048	1	1	0.1032	6.5883	7.0104
8	8	448	3	3	0.0954	7.0637	7.0221
8	8	384	1	3	0.1650	6.4914	6.9451
8	8	384	3	1	0.1650	6.6224	6.9404
8	8	2048	1	1	0.3258	6.5029	6.9395
